date_time,changed,not_changed,new
2016-09-06T17:44:47.437000-05:00,1,917,0
2016-09-06T17:54:12.422000-05:00,1,917,0
2016-09-06T18:11:00.592000-05:00,1,917,0
2016-09-06T18:21:00.718000-05:00,13,905,0
2016-09-06T18:26:00.765000-05:00,13,905,0
2016-09-06T18:31:00.781000-05:00,13,905,0
2016-09-06T18:41:00.744000-05:00,1,917,0
2016-09-06T18:51:00.787000-05:00,2,916,0
2016-09-06T18:56:00.693000-05:00,2,916,0
2016-09-06T19:06:00.736000-05:00,2,916,0
2016-09-06T19:16:00.808000-05:00,2,916,0
2016-09-06T19:21:00.814000-05:00,2,916,0
2016-09-06T19:31:00.735000-05:00,2,916,0
2016-09-06T19:41:00.718000-05:00,2,916,0
2016-09-06T19:51:00.700000-05:00,0,918,0
2016-09-06T20:01:00.713000-05:00,0,918,0
2016-09-06T20:06:00.540000-05:00,0,918,0
2016-09-06T20:16:00.733000-05:00,0,918,0
2016-09-06T20:26:00.792000-05:00,0,918,0
